Jahr,Insgesamt_Studi,Geist_Studi,R_W_S_Studi,Math_N_Studi,Hum_Ges_Studi,A_F_E_Studi,Ing_Studi,Kunst_Studi,Insgesamt_Prof,Geist_Prof,R_W_S_Prof,Math_N_Prof,Hum_Ges_Prof,A_F_E_Prof,Ing_Prof,Kunst_Prof
1997,0,0,0,0,0,0,0,0,3392,898,824,341,192,124,324,664
1998,0,0,0,0,0,0,0,0,3592,919,901,371,193,137,372,671
1999,0,0,0,0,0,0,0,0,3740,964,954,399,191,148,395,659
2000,92,11,47,11,4,1,18,0,3986,1025,1021,444,200,145,434,684
2001,268,21,125,32,6,24,60,0,4216,1088,1109,470,207,142,451,710
2002,704,50,359,73,13,61,148,0,4512,1145,1161,517,248,154,497,748
2003,936,63,439,121,27,87,194,5,4859,1230,1259,600,269,171,493,788
2004,2028,341,788,220,16,195,424,44,5224,1315,1290,682,364,181,517,825
2005,3725,730,1559,386,76,312,612,46,5412,1383,1336,733,363,174,531,823
2006,4476,678,1695,601,176,393,814,116,5735,1484,1423,775,382,180,571,859
2007,5786,1020,2120,809,248,482,902,201,6173,1630,1538,836,399,185,606,899
2008,7331,1518,2746,941,249,626,1026,217,6725,1747,1736,948,405,199,645,942
2009,9120,1792,3573,1117,446,764,1087,341,7300,1846,1972,1018,430,214,705,977
2010,12225,2391,4525,1718,609,882,1598,502,7945,2068,2134,1107,493,236,763,1012
2011,18241,3527,7063,2607,676,1085,2470,813,8526,2176,2314,1204,571,249,824,1044
2012,26736,5339,10427,3826,1003,1393,3473,1275,8957,2251,2455,1255,616,265,909,1056
2013,36200,7763,13573,5469,1210,1666,4859,1660,9587,2365,2659,1344,684,279,981,1104
2014,44818,10090,16427,6773,1299,1926,6194,2109,10062,2472,2830,1398,726,288,1031,1138
2015,52098,11887,18899,7477,1661,2108,7649,2414,10535,1714,3829,1115,791,287,1422,1180
2016,56509,7174,26327,6669,1695,2085,9969,2573,10955,1769,3984,1147,864,311,1491,1201
2017,61337,7777,28361,7154,1871,2292,11055,2769,11442,1813,4193,1212,924,316,1554,1236
2018,63542,7830,29529,6855,2282,2281,11864,2888,11902,1862,4369,1239,1023,336,1604,1278
2019,66401,7768,31401,7186,2456,2233,12448,2906,12408,1912,4558,1286,1098,346,1706,1320
2020,61767,6717,29684,6508,2234,2120,11958,2539,12949,1965,4743,1325,1208,350,1821,1354
2021,68573,7288,32857,7051,2978,2277,13031,3090,13664,2051,4972,1392,1327,386,1912,1412
2022,68900,6858,33039,7262,2829,2175,13756,2981,14326,2101,5179,1459,1445,404,2046,1462